SurveyDate,job,state,Incentive,A12
00:29.0,Panel,,$20,0
07:22.0,Panel,,$40,0
52:13.0,Panel,,$30,0
14:10.0,Panel,,$20,0
47:55.0,Recontact2+Resend,WA,$20,19
57:55.0,Recontact2+Resend,QLD,$30,8
07:30.0,Recontact2+Resend,VIC,$40,1
11:14.0,Panel,,$30,0
19:39.0,Panel,,$20,0
11:59.0,Panel,,$20,0
33:17.0,Panel,,$40,0
52:41.0,Panel,,$20,0
08:15.0,Panel,,$40,0
25:54.0,Panel,,$30,0
36:07.0,Panel,,$20,0
21:11.0,Panel,,$30,0
39:00.0,Panel,,$50,0
15:03.0,Panel,,$20,0
42:49.0,Panel,,$40,0
18:11.0,Panel,,$20,0
25:18.0,Panel,,$40,0
41:11.0,Panel,,$20,0
53:26.0,Panel,,$30,0
33:22.0,Panel,,$50,0
09:28.0,Panel,,$20,0
11:54.0,Panel,,$20,0
30:51.0,Panel,,$30,0
22:08.0,Panel,,$20,0
22:38.0,Panel,,$20,0
30:28.0,Panel,,$20,0
10:46.0,Panel,,$20,0
48:40.0,Panel,,$40,0
43:56.0,Recontact2+Resend,NSW,$50,19
30:26.0,Recontact2+Resend,VIC,$20,13
31:40.0,Recontact2+Resend,VIC,$20,5
20:40.0,Recontact2+Resend,VIC,$40,15
53:34.0,Panel,,$40,0
54:30.0,Panel,,$20,0
02:41.0,Panel,,$20,0
06:23.0,Panel,,$50,0
38:02.0,Panel,,$40,0
32:49.0,Panel,,$40,0
37:33.0,Panel,,$40,0
18:45.0,Panel,,$20,0
17:31.0,Panel,,$20,0
25:16.0,Panel,,$20,0
43:48.0,Panel,,$30,0
48:34.0,Panel,,$40,0
33:18.0,Panel,,$40,0
34:50.0,Panel,,$20,0
48:06.0,Panel,,$40,0
00:11.0,Panel,,$40,0
38:26.0,Panel,,$20,0
40:19.0,Panel,,$20,0
31:03.0,Panel,,$40,0
14:06.0,Panel,,$30,0
43:56.0,Panel,,$20,0
15:56.0,Panel,,$40,0
52:52.0,Panel,,$20,0
41:29.0,Panel,,$30,0
34:17.0,Panel,,$30,0
07:23.0,Panel,,$50,0
38:08.0,Panel,,$40,0
39:37.0,Panel,,$20,0
45:18.0,Panel,,$20,0
18:28.0,Panel,,$20,0
58:08.0,Panel,,$30,0
44:57.0,Panel,,$20,0
22:28.0,Panel,,$50,0
05:02.0,Panel,,$20,0
21:58.0,Panel,,$50,0
48:07.0,Panel,,$40,0
50:51.0,Panel,,$40,0
16:42.0,Panel,,$20,0
43:24.0,Panel,,$40,0
32:28.0,Panel,,$20,0
32:41.0,Panel,,$40,0
59:12.0,Panel,,$20,0
55:30.0,Panel,,$30,0
06:12.0,Panel,,$30,0
14:22.0,Panel,,$20,0
58:35.0,Panel,,$20,0
21:12.0,Panel,,$30,0
15:03.0,Panel,,$50,0
08:09.0,Panel,,$40,0
07:38.0,Recontact2+Resend,QLD,$20,9
07:11.0,Recontact2+Resend,QLD,$20,7
19:34.0,Recontact2+Resend,QLD,$40,10
21:52.0,Recontact2+Resend,WA,$40,7
44:59.0,Recontact2+Resend,ACT,$40,19
05:27.0,Recontact2+Resend,ACT,$40,7
15:17.0,Recontact2+Resend,VIC,$50,2
50:46.0,Recontact2+Resend,NSW,$50,2
03:28.0,Recontact2+Resend,QLD,$20,7
21:15.0,Panel,,$50,0
42:47.0,Panel,,$20,0
08:29.0,Panel,,$20,0
52:11.0,Panel,,$30,0
07:06.0,Panel,,$50,0
47:19.0,Panel,,$30,0
05:44.0,Panel,,$30,0
23:37.0,Recontact2+Resend,WA,$40,18
34:19.0,Panel,,$50,0
38:47.0,Panel,,$30,0
31:00.0,Panel,,$30,0
49:21.0,Panel,,$20,0
47:54.0,Panel,,$30,0
56:48.0,Panel,,$30,0
08:57.0,Panel,,$20,0
15:12.0,Panel,,$20,0
26:14.0,Panel,,$50,0
42:57.0,Panel,,$20,0
22:24.0,Panel,,$40,0
09:25.0,Panel,,$20,0
07:08.0,Panel,,$20,0
09:09.0,Panel,,$40,0
14:19.0,Panel,,$20,0
13:30.0,Panel,,$40,0
24:58.0,Panel,,$40,0
35:43.0,Panel,,$40,0
42:24.0,Panel,,$20,0
29:08.0,Panel,,$30,0
09:05.0,Panel,,$10,0
51:56.0,Panel,,$40,0
02:08.0,Panel,,$20,0
59:54.0,Panel,,$20,0
44:44.0,Panel,,$20,0
22:30.0,Panel,,$20,0
46:42.0,Panel,,$20,0
48:41.0,Panel,,$20,0
46:49.0,Recontact2+Resend,NSW,$20,7
16:06.0,Recontact2+Resend,VIC,$40,14
04:26.0,Panel,,$40,0
28:09.0,Panel,,$50,0
32:51.0,Recontact2+Resend,VIC,$40,16
30:58.0,Panel,,$30,0
53:03.0,Panel,,$20,0
44:22.0,Panel,,$30,0
53:00.0,Recontact2+Resend,QLD,$20,19
44:46.0,Recontact2+Resend,NSW,$40,7
45:50.0,Panel,,$30,0
04:42.0,Panel,,$40,0
25:23.0,Panel,,$20,0
33:14.0,Panel,,$30,0
51:57.0,Panel,,$40,0
31:25.0,Panel,,$40,0
18:25.0,Recontact2+Resend,VIC,$40,19
38:03.0,Panel,,$40,0
14:37.0,Panel,,$40,0
50:27.0,Panel,,$20,0
50:07.0,Panel,,$40,0
36:48.0,Panel,,$40,0
51:10.0,Recontact2+Resend,QLD,$30,18
30:59.0,Panel,,$30,0
31:01.0,Recontact2+Resend,TAS,$30,8
08:10.0,Recontact2+Resend,NSW,$20,16
40:22.0,Recontact2+Resend,NSW,$40,13
55:16.0,Panel,,$40,0
33:50.0,Panel,,$40,0
26:13.0,Panel,,$40,0
22:34.0,Panel,,$30,0
49:00.0,Panel,,$40,0
13:11.0,Panel,,$40,0
40:26.0,Recontact2+Resend,QLD,$40,1
30:39.0,Recontact2+Resend,VIC,$40,7
01:13.0,Panel,,$40,0
44:57.0,Panel,,$30,0
49:27.0,Panel,,$40,0
41:36.0,Recontact2+Resend,NSW,$40,18
26:16.0,Recontact2+Resend,QLD,$30,2
27:13.0,Panel,,$20,0
26:59.0,Panel,,$30,0
50:00.0,Panel,,$40,0
01:06.0,Recontact2+Resend,NSW,$20,15
21:00.0,Panel,,$40,0
31:39.0,Panel,,$40,0
53:20.0,Panel,,$50,0
03:19.0,Panel,,$40,0
06:20.0,Panel,,$40,0
49:20.0,Panel,,$40,0
21:27.0,Panel,,$40,0
55:49.0,Panel,,$20,0
56:39.0,Panel,,$40,0
58:03.0,Panel,,$20,0
41:23.0,Panel,,$40,0
54:04.0,Panel,,$20,0
